Rating	ID	Title	Title Slug	Contest Slug	Problem Index
2170.0439693714	1931	Painting a Grid With Three Different Colors	painting-a-grid-with-three-different-colors	weekly-contest-249	Q3
2168.7531235448	786	K-th Smallest Prime Fraction	k-th-smallest-prime-fraction	weekly-contest-72	Q4
2164.8287157213	1036	Escape a Large Maze	escape-a-large-maze	weekly-contest-134	Q4
2158.8988728254	2122	Recover the Original Array	recover-the-original-array	weekly-contest-273	Q4
2158.7683843245	2102	Sequentially Ordinal Rank Tracker	sequentially-ordinal-rank-tracker	biweekly-contest-67	Q4
2157.5814371481	2218	Maximum Value of K Coins From Piles	maximum-value-of-k-coins-from-piles	weekly-contest-286	Q4
2156.9515428364	1515	Best Position for a Service Centre	best-position-for-a-service-centre	weekly-contest-197	Q4
2147.1828941776	1610	Maximum Number of Visible Points	maximum-number-of-visible-points	weekly-contest-209	Q3
2146.6395819980	1906	Minimum Absolute Difference Queries	minimum-absolute-difference-queries	weekly-contest-246	Q4
2145.1839952670	1879	Minimum XOR Sum of Two Arrays	minimum-xor-sum-of-two-arrays	biweekly-contest-53	Q4
2140.0220703954	906	Super Palindromes	super-palindromes	weekly-contest-102	Q4
2135.5738659086	959	Regions Cut By Slashes	regions-cut-by-slashes	weekly-contest-115	Q3
2134.5448970405	910	Smallest Range II	smallest-range-ii	weekly-contest-103	Q3
2133.9592509012	1439	Find the Kth Smallest Sum of a Matrix With Sorted Rows	find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows	weekly-contest-187	Q4
2133.1003195919	898	Bitwise ORs of Subarrays	bitwise-ors-of-subarrays	weekly-contest-100	Q3
2131.7917160422	1579	Remove Max Number of Edges to Keep Graph Fully Traversable	remove-max-number-of-edges-to-keep-graph-fully-traversable	weekly-contest-205	Q4
2130.9348604091	2076	Process Restricted Friend Requests	process-restricted-friend-requests	weekly-contest-267	Q4
2130.1135718486	1039	Minimum Score Triangulation of Polygon	minimum-score-triangulation-of-polygon	weekly-contest-135	Q3
2129.7051442916	798	Smallest Rotation with Highest Score	smallest-rotation-with-highest-score	weekly-contest-75	Q4
2126.6864346508	1444	Number of Ways of Cutting a Pizza	number-of-ways-of-cutting-a-pizza	weekly-contest-188	Q4
2125.3125624762	1955	Count Number of Special Subsequences	count-number-of-special-subsequences	weekly-contest-252	Q4
2124.1329592058	968	Binary Tree Cameras	binary-tree-cameras	weekly-contest-117	Q4
